RTH #	RSH #	RTK #	TH	SH	K	H POS	RTH Keyword	RSH Keyword	RTK Keyword	RTH Read	TH Read	RTH Lesson	RSH Lesson	RTK Lesson	K and H check	SH and TH check	K and TH keywords	SH and TH keywords	K and H Visual Check	orthodox	prc_variant	jpn_variant	is_duplicate
1137	1197	1520	核	核	核		nucleus	nucleus	nucleus	hé	hé|hú	RTH1-L38	RSH1-L38	RTK1v5-L39	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		核			FALSE
1138	1198		孩	孩	孩		tot	tot		hái	hái	RTH1-L38	RSH1-L38		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		孩			FALSE
1139	1199	1521	刻	刻	刻		carve	carve	engrave	kè	kè	RTH1-L38	RSH1-L38	RTK1v5-L39	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		刻			FALSE
1140	1200	1522	該	该	該		should	should	above-stated	gāi	gāi	RTH1-L38	RSH1-L38	RTK1v5-L39	K = TH	SH <> TH	K key <> TH key	SH key = TH key		該	该		FALSE
1141	1202	1524	述	述	述		narrate	narrate	mention	shù	shù	RTH1-L38	RSH1-L38	RTK1v5-L39	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		述			FALSE
1142	1201	1525	術	术	術		art	art	art	shù	shù|zhú	RTH1-L38	RSH1-L38	RTK1v5-L39	K = TH	SH <> TH	K key = TH key	SH key = TH key		術	术		FALSE
1143	1169	1493	殺	杀	殺		kill	kill	kill	shā	shā	RTH1-L38	RSH1-L38	RTK1v5-L39	K = TH	SH <> TH	K key = TH key	SH key = TH key		殺	杀		FALSE
1144	1203		襄	襄	襄	v.	aid	aid		xiāng	xiāng	RTH1-L38	RSH1-L38		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		襄			FALSE
1145	349	1528	讓	让	譲	n.	yield	yield	defer	ràng	ràng	RTH1-L38	RSH1-L15	RTK1v5-L39	K <> H	SH <> TH	K key <> TH key	SH key = TH key	Japanese variant	讓	让	譲	FALSE
1146	1204	1529	壤	壤	壌		territory	territory	lot	rǎng	rǎng	RTH1-L38	RSH1-L38	RTK1v5-L39	K <> H	SH = TH	K key <> TH key	SH key = TH key	Japanese variant	壤		壌	FALSE
1147	1205	1526	寒	寒	寒		frigid	frigid	cold	hán	hán	RTH1-L38	RSH1-L38	RTK1v5-L39	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		寒			FALSE
1148	1206		賽	赛	賽		competition	competition		sài	sài	RTH1-L38	RSH1-L38		K = TH	SH <> TH	RTK key missing	SH key = TH key		賽	赛		FALSE
1149	1207	1531	毒	毒	毒	n.	poison	poison	poison	dú	dú	RTH1-L39	RSH1-L39	RTK1v5-L40	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		毒			FALSE
1150	1209	1532	素	素	素		vegetarian diet	vegetarian diet	elementary	sù	sù	RTH1-L39	RSH1-L39	RTK1v5-L40	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		素			FALSE
1151	1210	1534	青	青	青		blue or green	blue or green	blue	qīng	qīng	RTH1-L39	RSH1-L39	RTK1v5-L40	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		青			FALSE
1152	1211	1535	精	精	精		refined	refined	refined	jīng	jīng	RTH1-L39	RSH1-L39	RTK1v5-L40	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		精			FALSE
1153	1212	1536	請	请	請		invite	invite	solicit	qǐng	qǐng	RTH1-L39	RSH1-L39	RTK1v5-L40	K = TH	SH <> TH	K key <> TH key	SH key = TH key		請	请		FALSE
1154	1213	1537	情	情	情		feelings	feelings	feelings	qíng	qíng	RTH1-L39	RSH1-L39	RTK1v5-L40	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		情			FALSE
1155	1214		睛	睛	睛		eyeball	eyeball		jīng	jīng	RTH1-L39	RSH1-L39		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		睛			FALSE
1156	1215	1539	清	清	清		pure	pure	pure	qīng	qīng	RTH1-L39	RSH1-L39	RTK1v5-L40	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		清			FALSE
1157	1216	1540	靜	静	静		quiet	quiet	quiet	jìng	jìng	RTH1-L39	RSH1-L39	RTK1v5-L40	K = SH	SH <> TH	K key = TH key	SH key = TH key		靜	静		FALSE
1158	1217	1541	責	责	責		responsibility	responsibility	blame	zé	zé	RTH1-L39	RSH1-L39	RTK1v5-L40	K = TH	SH <> TH	K key <> TH key	SH key = TH key		責	责		FALSE
1159	1218	1542	績	绩	績		accomplishments	accomplishments	exploits	jì	jì	RTH1-L39	RSH1-L39	RTK1v5-L40	K = TH	SH <> TH	K key <> TH key	SH key = TH key		績	绩		FALSE
1160	765	1543	積	积	積		accumulate	accumulate	volume	jī	jī	RTH1-L39	RSH1-L25	RTK1v5-L40	K = TH	SH <> TH	K key <> TH key	SH key = TH key		積	积		FALSE
1161	1219	1546	表	表	表	n.	surface	surface	surface	biǎo	biǎo	RTH1-L39	RSH1-L39	RTK1v5-L40	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		表			FALSE
1162	(c)		錶	錶	錶	n.	watch	watch		biǎo	biǎo	RTH1-L39			K = SH = TH	SH = TH	RTK key missing	SH key = TH key		錶			FALSE
1163	1220	1555	生	生	生		life	life	life	shēng	shēng	RTH1-L39	RSH1-L39	RTK1v5-L40	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		生			FALSE
1164	1221	1556	星	星	星	n.	star	star	star	xīng	xīng	RTH1-L39	RSH1-L39	RTK1v5-L40	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		星			FALSE
1165	1222	1557	姓	姓	姓		surname	surname	surname	xìng	xìng	RTH1-L39	RSH1-L39	RTK1v5-L40	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		姓			FALSE
1166	1223	1558	性	性	性		sex	sex	sex	xìng	xìng	RTH1-L39	RSH1-L39	RTK1v5-L40	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		性			FALSE
1167	1226	1551	害	害	害	n./v.	harm	harm	harm	hài	hài	RTH1-L39	RSH1-L39	RTK1v5-L40	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		害			FALSE
1168	1227	1553	割	割	割	v.	cut off	cut off	proportion	gē	gē	RTH1-L39	RSH1-L39	RTK1v5-L40	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		割			FALSE
1169	1228	2851	慧	慧	慧		intelligent	intelligent	astute	huì	huì	RTH1-L39	RSH1-L39	RTK3v2-CH03	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		慧			FALSE
1170	1225	1443	豐	丰	豊		plentiful	plentiful	bountiful	fēng	fēng	RTH1-L39	RSH1-L39	RTK1v5-L38	K <> H	SH <> TH	K key <> TH key	SH key = TH key	Japanese variant	豐	丰	豊	FALSE
1171	1232	1568	春	春	春		springtime	springtime	springtime	chūn	chūn	RTH1-L39	RSH1-L39	RTK1v5-L40	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		春			FALSE
1172	1233	1570	泰	泰	泰		tranquil	tranquil	peaceful	tài	tài	RTH1-L39	RSH1-L39	RTK1v5-L40	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		泰			FALSE
1173	1234	1573	奉	奉	奉	v.	proffer	proffer	dedicate	fèng	fèng	RTH1-L39	RSH1-L39	RTK1v5-L40	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		奉			FALSE
1174	1235	1575	棒	棒	棒	n.	cudgel	cudgel	rod	bàng	bàng	RTH1-L39	RSH1-L39	RTK1v5-L40	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		棒			FALSE
1175	1241	1577	勤	勤	勤		diligent	diligent	diligence	qín	qín	RTH1-L39	RSH1-L39	RTK1v5-L40	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		勤			FALSE
1176	1242	1576	謹	谨	謹		careful	careful	discreet	jǐn	jǐn	RTH1-L39	RSH1-L39	RTK1v5-L40	K = TH	SH <> TH	K key <> TH key	SH key = TH key		謹	谨		FALSE
1177	811	2116	僅	仅	僅		merely	merely	trifle	jǐn	jǐn	RTH1-L39	RSH1-L26	RTK3v2-CH02	K = TH	SH <> TH	K key <> TH key	SH key = TH key		僅	仅		FALSE
1178	637	1578	漢	汉	漢		Han	Han	Sino-	hàn	Hàn|hàn	RTH1-L39	RSH1-L22	RTK1v5-L40	K = TH	SH <> TH	K key <> TH key	SH key = TH key		漢	汉		FALSE
1179	644	1580	難	难	難		difficult	difficult	difficult	nán	nán|nàn	RTH1-L39	RSH1-L22	RTK1v5-L40	K = TH	SH <> TH	K key = TH key	SH key = TH key		難	难		FALSE
1180	645		攤	摊	攤		vendor's stand	vendor's stand		tān	tān	RTH1-L39	RSH1-L22		K = TH	SH <> TH	RTK key missing	SH key = TH key		攤	摊		FALSE
1181	831	1581	華	华	華		splendor	splendor	splendor	huá	huá|Huà	RTH1-L39	RSH1-L26	RTK1v5-L40	K = TH	SH <> TH	K key = TH key	SH key = TH key		華	华		FALSE
1182	832	2160	嘩	哗	嘩	n.	clamor	clamor	quarrel	huá	huā|huá	RTH1-L39	RSH1-L26	RTK3v2-CH02	K = TH	SH <> TH	K key <> TH key	SH key = TH key		嘩	哗		FALSE
1183	1243	1582	垂	垂	垂		droop	droop	droop	chuí	chuí	RTH1-L39	RSH1-L39	RTK1v5-L40	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		垂			FALSE
1184	1244	1584	錘	锤	錘	n.	hammer	hammer	spindle	chuí	chuí	RTH1-L39	RSH1-L39	RTK1v5-L40	K = TH	SH <> TH	K key <> TH key	SH key = TH key		錘	锤		FALSE
1185	1245	1583	睡	睡	睡	v.	sleep	sleep	drowsy	shuì	shuì	RTH1-L39	RSH1-L39	RTK1v5-L40	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		睡			FALSE
1186	1246	1587	今	今	今		now	now	now	jīn	jīn	RTH1-L40	RSH1-L40	RTK1v5-L41	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		今			FALSE
1187	1247	1588	含	含	含	v.	harbor	harbor	include	hán	hán	RTH1-L40	RSH1-L40	RTK1v5-L41	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		含			FALSE
1188	1248	1590	念	念	念	v.	miss	miss	wish	niàn	niàn	RTH1-L40	RSH1-L40	RTK1v5-L41	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		念			FALSE
1189	1061	1592	陰	阴	陰		Yin	Yin	shade	yīn	yīn	RTH1-L40	RSH1-L34	RTK1v5-L41	K = TH	SH <> TH	K key <> TH key	SH key = TH key		陰	阴		FALSE
1190	1062	2374	蔭	荫	蔭		shady	shady	behind the scenes	yìn	yìn|yīn	RTH1-L40	RSH1-L34	RTK3v2-CH02	K = TH	SH <> TH	K key <> TH key	SH key = TH key		蔭	荫		FALSE
1191	1255	1602	西	西	西		west	west	west	xī	xī	RTH1-L40	RSH1-L40	RTK1v5-L41	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		西			FALSE
1192	1256	1604	要	要	要	v.	want	want	need	yào	yào|yāo	RTH1-L40	RSH1-L40	RTK1v5-L41	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		要			FALSE
1193	1257	1605	腰	腰	腰		waist	waist	loins	yāo	yāo	RTH1-L40	RSH1-L40	RTK1v5-L41	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		腰			FALSE
1194	1258	1606	票	票	票		ticket	ticket	ballot	piào	piào	RTH1-L40	RSH1-L40	RTK1v5-L41	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		票			FALSE
1195	1259	1607	漂	漂	漂	v.	drift	drift	drift	piào	piǎo|piào|piāo	RTH1-L40	RSH1-L40	RTK1v5-L41	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		漂			FALSE
1196	905	1608	標	标	標	n.	mark	mark	signpost	biāo	biāo	RTH1-L40	RSH1-L29	RTK1v5-L41	K = TH	SH <> TH	K key <> TH key	SH key = TH key		標	标		FALSE
1197	1260		賈	贾	賈		merchant	merchant		gǔ	gǔ|Jiǎ	RTH1-L40	RSH1-L40		K = TH	SH <> TH	RTK key missing	SH key = TH key		賈	贾		FALSE
1198	795	1603	價	价	価		price	price	value	jià	jià|jie	RTH1-L40	RSH1-L26	RTK1v5-L41	K <> H	SH <> TH	K key <> TH key	SH key = TH key	Japanese variant	價	价	価	FALSE
1199	552	1612	煙	烟	煙	n.	smoke	smoke	smoke	yān	yān	RTH1-L40	RSH1-L21	RTK1v5-L41	K = TH	SH <> TH	K key = TH key	SH key = TH key		煙	烟		FALSE
1200	1261	1613	南	南	南		south	south	south	nán	nán|nā	RTH1-L40	RSH1-L40	RTK1v5-L41	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		南			FALSE
1201	1262	1616	門	门	門		gate	gate	gates	mén	mén	RTH1-L41	RSH1-L41	RTK1v5-L42	K = TH	SH <> TH	K key <> TH key	SH key = TH key		門	门		FALSE
1202	1263		們	们	們		(plural)	(plural)		men	men	RTH1-L41	RSH1-L41		K = TH	SH <> TH	RTK key missing	SH key = TH key		們	们		FALSE
1203	1264		閒	闲			leisure	leisure		xián	xián	RTH1-L41	RSH1-L41		K missing	SH <> TH	RTK key missing	SH key = TH key		閒	闲		FALSE
1204	1265	1617	問	问	問		ask	ask	question	wèn	wèn	RTH1-L41	RSH1-L41	RTK1v5-L42	K = TH	SH <> TH	K key <> TH key	SH key = TH key		問	问		FALSE
1205	1266	1620	間	间	間		interval	interval	interval	jiàn	jiān|jiàn|gān	RTH1-L41	RSH1-L41	RTK1v5-L42	K = TH	SH <> TH	K key = TH key	SH key = TH key		間	间		FALSE
1206	1267	1621	簡	简	簡		simple	simple	simplicity	jiǎn	jiǎn	RTH1-L41	RSH1-L41	RTK1v5-L42	K = TH	SH <> TH	K key <> TH key	SH key = TH key		簡	简		FALSE
1207	613	1622	開	开	開	v.	open	open	open	kāi	kāi	RTH1-L41	RSH1-L22	RTK1v5-L42	K = TH	SH <> TH	K key = TH key	SH key = TH key		開	开		FALSE
1208	1268	1626	聞	闻	聞		hear	hear	hear	wén	wén	RTH1-L41	RSH1-L41	RTK1v5-L42	K = TH	SH <> TH	K key = TH key	SH key = TH key		聞	闻		FALSE
1209	1121	1630	倉	仓	倉		storehouse	storehouse	godown	cāng	cāng	RTH1-L41	RSH1-L36	RTK1v5-L42	K = TH	SH <> TH	K key <> TH key	SH key = TH key		倉	仓		FALSE
1210	1122	2516	槍	枪	槍		gun	gun	lance	qiāng	qiāng|chēng	RTH1-L41	RSH1-L36	RTK3v2-CH02	K = TH	SH <> TH	K key <> TH key	SH key = TH key		槍	枪		FALSE
1211	1123	1631	創	创	創	v.	initiate	initiate	genesis	chuàng	chuàng|chuāng	RTH1-L41	RSH1-L36	RTK1v5-L42	K = TH	SH <> TH	K key <> TH key	SH key = TH key		創	创		FALSE
1212	1269	1632	非	非	非		non-	non-	un-	fēi	fēi	RTH1-L41	RSH1-L41	RTK1v5-L42	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		非			FALSE
1213	1270	1634	排	排	排	n.	row	row	repudiate	pái	pái|pǎi	RTH1-L41	RSH1-L41	RTK1v5-L42	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		排			FALSE
1214	1271	1636	罪	罪	罪		guilt	guilt	guilt	zuì	zuì	RTH1-L41	RSH1-L41	RTK1v5-L42	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		罪			FALSE
1215	1272		靠	靠	靠		lean on	lean on		kào	kào	RTH1-L41	RSH1-L41		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		靠			FALSE
1216	1273	1639	侯	侯	侯		marquis	marquis	marquis	hóu	hóu	RTH1-L41	RSH1-L41	RTK1v5-L42	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		侯			FALSE
1217	1274	1640	候	候	候	v.	wait	wait	climate	hòu	hòu	RTH1-L41	RSH1-L41	RTK1v5-L42	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		候			FALSE
1218	1275	1641	決	决	決		decide	decide	decide	jué	jué	RTH1-L41	RSH1-L41	RTK1v5-L42	K = TH	SH <> TH	K key = TH key	SH key = TH key		決	决		FALSE
1219	1276	1642	快	快	快	adj.	fast	fast	cheerful	kuài	kuài	RTH1-L41	RSH1-L41	RTK1v5-L42	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		快			FALSE
1220	1278		筷	筷	筷		chopsticks	chopsticks		kuài	kuài	RTH1-L41	RSH1-L41		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		筷			FALSE
1221	1229		韋	韦	韋		tanned hide	tanned hide		wéi	wéi	RTH1-L41	RSH1-L39		K = TH	SH <> TH	RTK key missing	SH key = TH key		韋	韦		FALSE
1222	1230	1807	圍	围	囲		surround	surround	surround	wéi	wéi	RTH1-L41	RSH1-L39	RTK1v5-L48	K <> H	SH <> TH	K key = TH key	SH key = TH key	Japanese variant	圍	围	囲	FALSE
1223	1231	1643	偉	伟	偉		great	great	admirable	wěi	wěi	RTH1-L41	RSH1-L39	RTK1v5-L42	K = TH	SH <> TH	K key <> TH key	SH key = TH key		偉	伟		FALSE
1224	1114	1646	衛	卫	衛		defend	defend	defense	wèi	wèi	RTH1-L41	RSH1-L36	RTK1v5-L42	K = TH	SH <> TH	K key <> TH key	SH key = TH key		衛	卫		FALSE
1225	ch # 1279	1648	干	干	干	v.	offend		dry	gān	gàn|gān	RTH1-L42		RTK1v5-L43	K = SH = TH	SH = TH	K key <> TH key	RSH key missing		干			FALSE
1226	1280	1653	岸	岸	岸		shore	shore	beach	àn	àn	RTH1-L42	RSH1-L42	RTK1v5-L43	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		岸			FALSE
1227	ch # 1279	1654	幹	干	幹		trunk		tree trunk	gàn	gàn	RTH1-L42		RTK1v5-L43	K = TH	SH <> TH	K key <> TH key	RSH key missing		幹	干		FALSE
1228	1281	2441	旱	旱	旱		drought	drought	dry weather	hàn	hàn	RTH1-L42	RSH1-L42	RTK3v2-CH02	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		旱			FALSE
1229	1282		趕	赶	趕	v.	hurry	hurry		gǎn	gǎn	RTH1-L42	RSH1-L42		K = TH	SH <> TH	RTK key missing	SH key = TH key		趕	赶		FALSE
1230	1283		于	于	于		Yu	Yu		yú	yú|Yú	RTH1-L42	RSH1-L42		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		于			FALSE
1231	1284	1656	宇	宇	宇		eaves	eaves	eaves	yǔ	yǔ	RTH1-L42	RSH1-L42	RTK1v5-L43	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		宇			FALSE
1232	ch # 1285	ch # 1657	余	余	余		moi			yú	yú|Yú	RTH1-L42			K = SH = TH	SH = TH	RTK key missing	RSH key missing		余			FALSE
1233	1285	1657	餘	余	余		excess	excess	too much	yú	yú|Yú	RTH1-L42	RSH1-L42	RTK1v5-L43	K = SH	SH <> TH	K key <> TH key	SH key = TH key		餘	余		FALSE
1234	1286	1658	除	除	除		eliminate	eliminate	exclude	chú	chú	RTH1-L42	RSH1-L42	RTK1v5-L43	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		除			FALSE
1235	1287	1661	途	途	途	n.	route	route	route	tú	tú	RTH1-L42	RSH1-L42	RTK1v5-L43	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		途			FALSE
1236	1288	1664	束	束	束		bundle up	bundle up	bundle	shù	shù	RTH1-L42	RSH1-L42	RTK1v5-L43	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		束			FALSE
1237	1289	1669	速	速	速		quick	quick	quick	sù	sù	RTH1-L42	RSH1-L42	RTK1v5-L43	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		速			FALSE
1238	1290	3025	辣	辣	辣		spicy hot	spicy hot	bitter	là	là|lā	RTH1-L42	RSH1-L42	RTK1v5-Sup.	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		辣			FALSE
1239	1291	1670	整	整	整		entire	entire	organize	zhěng	zhěng	RTH1-L42	RSH1-L42	RTK1v5-L43	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		整			FALSE
1240	1253	1343	練	练	練	v.	practice	practice	practice	liàn	liàn	RTH1-L42	RSH1-L40	RTK1v5-L36	K = TH	SH <> TH	K key = TH key	SH key = TH key		練	练		FALSE
1241	1254		揀	拣	揀		opt for	opt for		jiǎn	jiǎn	RTH1-L42	RSH1-L40		K = TH	SH <> TH	RTK key missing	SH key = TH key		揀	拣		FALSE
1242	1292	1675	重	重	重		heavy	heavy	heavy	zhòng	zhòng|chóng	RTH1-L42	RSH1-L42	RTK1v5-L43	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		重			FALSE
1243	1293		懂	懂	懂		understand	understand		dǒng	dǒng	RTH1-L42	RSH1-L42		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		懂			FALSE
1244	735	1676	動	动	動	v.	move	move	move	dòng	dòng	RTH1-L42	RSH1-L24	RTK1v5-L43	K = TH	SH <> TH	K key = TH key	SH key = TH key		動	动		FALSE
1245	766	1679	種	种	種		species	species	species	zhǒng	zhǒng|zhòng	RTH1-L42	RSH1-L25	RTK1v5-L43	K = TH	SH <> TH	K key = TH key	SH key = TH key		種	种		FALSE
1246	432	1680	衝	冲	衝		collide	collide	collide	chōng	chōng|chòng	RTH1-L42	RSH1-L18	RTK1v5-L43	K = TH	SH <> TH	K key = TH key	SH key = TH key		衝	冲		FALSE
1247	1294	1682	病	病	病		illness	illness	ill	bìng	bìng	RTH1-L43	RSH1-L43	RTK1v5-L44	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		病			FALSE
1248	1295	1690	痛	痛	痛	v.	ache	ache	pain	tòng	tòng	RTH1-L43	RSH1-L43	RTK1v5-L44	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		痛			FALSE
1249	1296		瘋	疯	瘋		insane	insane		fēng	fēng	RTH1-L43	RSH1-L43		K = TH	SH <> TH	RTK key missing	SH key = TH key		瘋	疯		FALSE
1250	(c)	1695	匹	匹	匹	v.	match	match	equal	pǐ	pǐ	RTH1-L43		RTK1v5-L44	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		匹			FALSE
1251	1297	1696	區	区	区		region	region	ward	qū	qū|Ōu	RTH1-L43	RSH1-L43	RTK1v5-L44	K = SH	SH <> TH	K key <> TH key	SH key = TH key		區	区		FALSE
1252	1298	1697	樞	枢	枢		hub	hub	hinge	shū	shū	RTH1-L43	RSH1-L43	RTK1v5-L44	K = SH	SH <> TH	K key <> TH key	SH key = TH key		樞	枢		FALSE
1253	1299	1699	歐	欧	欧		Europe	Europe	Europe	ōu	Ōu	RTH1-L43	RSH1-L43	RTK1v5-L44	K = SH	SH <> TH	K key = TH key	SH key = TH key		歐	欧		FALSE
1254	1300	1694	醫	医	医		physician	physician	doctor	yī	yī	RTH1-L43	RSH1-L43	RTK1v5-L44	K = SH	SH <> TH	K key <> TH key	SH key = TH key		醫	医		FALSE
1255	1301	1701	仰	仰	仰		look up to	look up to	faceup	yǎng	yǎng	RTH1-L43	RSH1-L43	RTK1v5-L44	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		仰			FALSE
1256	1302	1702	迎	迎	迎		greet	greet	welcome	yíng	yíng	RTH1-L43	RSH1-L43	RTK1v5-L44	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		迎			FALSE
1257	1303	1703	登	登	登		ascend	ascend	ascend	dēng	dēng	RTH1-L43	RSH1-L43	RTK1v5-L44	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		登			FALSE
1258	176	165	燈	灯	灯		lamp	lamp	lamp	dēng	dēng	RTH1-L43	RSH1-L08	RTK1v5-L08	K = SH	SH <> TH	K key = TH key	SH key = TH key		燈	灯		FALSE
1259	388		證	证	證		evidence	evidence		zhèng	zhèng	RTH1-L43	RSH1-L17		K = TH	SH <> TH	RTK key missing	SH key = TH key		證	证		FALSE
1260	1304	1705	發	发	発		send out	send out	discharge	fā	fā	RTH1-L43	RSH1-L43	RTK1v5-L44	K <> H	SH <> TH	K key <> TH key	SH key = TH key	Japanese variant	發	发	発	FALSE
1261	1305	1706	廢	废	廃	v.	discard	discard	abolish	fèi	fèi	RTH1-L43	RSH1-L43	RTK1v5-L44	K <> H	SH <> TH	K key <> TH key	SH key = TH key	Old variant	廢	废	廃	FALSE
1262	1306	1711	形	形	形	n.	shape	shape	shape	xíng	xíng	RTH1-L44	RSH1-L44	RTK1v5-L45	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		形			FALSE
1263	1307	1712	影	影	影	n.	shadow	shadow	shadow	yǐng	yǐng	RTH1-L44	RSH1-L44	RTK1v5-L45	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		影			FALSE
1264	1308	1714	彩	彩	彩		hue	hue	coloring	cǎi	cǎi	RTH1-L44	RSH1-L44	RTK1v5-L45	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		彩			FALSE
1265	1309	1718	須	须	須		have to	have to	ought	xū	xū	RTH1-L44	RSH1-L44	RTK1v5-L45	K = TH	SH <> TH	K key <> TH key	SH key = TH key		須	须		FALSE
1266	1313	1723	珍	珍	珍		rare	rare	rare	zhēn	zhēn	RTH1-L44	RSH1-L44	RTK1v5-L45	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		珍			FALSE
1267	1310	1720	參	参	参		participate	participate	visit	cān	cān|cēn|shēn	RTH1-L44	RSH1-L44	RTK1v5-L45	K = SH	SH <> TH	K key <> TH key	SH key = TH key		參	参		FALSE
1268	1311	1721	慘	惨	惨		wretched	wretched	wretched	cǎn	cǎn	RTH1-L44	RSH1-L44	RTK1v5-L45	K = SH	SH <> TH	K key = TH key	SH key = TH key		慘	惨		FALSE
1269	1312	1722	修	修	修	v.	repair	repair	discipline	xiū	xiū	RTH1-L44	RSH1-L44	RTK1v5-L45	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		修			FALSE
1270	1317	1725	文	文	文		literature	literature	sentence	wén	wén	RTH1-L44	RSH1-L44	RTK1v5-L45	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		文			FALSE
1271	1318	1728	蚊	蚊	蚊		mosquito	mosquito	mosquito	wén	wén	RTH1-L44	RSH1-L44	RTK1v5-L45	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		蚊			FALSE
1272	1315	1716	彥	彦	彦		erudite	erudite	lad	yàn	yàn	RTH1-L44	RSH1-L44	RTK1v5-L45	K = SH	SH <> TH	K key <> TH key	SH key = TH key		彥	彦		FALSE
1273	1316	1717	顏	颜	顔	n.	countenance	countenance	face	yán	yán	RTH1-L44	RSH1-L44	RTK1v5-L45	K <> H	SH <> TH	K key <> TH key	SH key = TH key	Japanese variant	顏	颜	顔	FALSE
1274	1314	1560	產	产	産		products	products	products	chǎn	chǎn	RTH1-L44	RSH1-L44	RTK1v5-L40	K <> H	SH <> TH	K key = TH key	SH key = TH key	Japanese variant	產	产	産	FALSE
1275	1322	1737	率	率	率	n.	rate	rate	ratio	shuài	lǜ|shuài	RTH1-L44	RSH1-L44	RTK1v5-L45	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		率			FALSE
1276	1323		摔	摔	摔	v.	tumble	tumble		shuāi	shuāi	RTH1-L44	RSH1-L44		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		摔			FALSE
1277	1324	1740	央	央	央		center	center	center	yāng	yāng	RTH1-L44	RSH1-L44	RTK1v5-L45	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		央			FALSE
1278	1325	1741	英	英	英		England	England	England	yīng	yīng	RTH1-L44	RSH1-L44	RTK1v5-L45	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		英			FALSE
